<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
VNM,20121204,26.2775,26.4812,26.0738,26.4812,40200
VNM,20121203,26.2775,26.4812,26.0738,26.2775,30000
VNM,20121130,26.2775,26.4812,26.2775,26.2775,48300
VNM,20121129,26.0738,26.4812,26.0738,26.2775,63950
VNM,20121128,26.2775,26.2775,26.0738,26.0738,46200
VNM,20121127,26.0738,26.2775,26.0738,26.2775,53840
VNM,20121126,26.4812,26.4812,26.0738,26.0738,87520
VNM,20121123,26.4812,26.6849,26.0738,26.4812,133190
VNM,20121122,26.4812,26.6849,26.2775,26.4812,67600
VNM,20121121,26.4812,27.0923,26.4812,26.4812,104280
VNM,20121120,26.2775,26.4812,26.0738,26.4812,122810
VNM,20121119,26.4812,26.6849,26.0738,26.2775,75120
VNM,20121116,26.8886,26.8886,26.2775,26.4812,67040
VNM,20121115,26.8886,27.7034,26.6849,26.8886,163380
VNM,20121114,25.6664,26.8886,25.8701,26.8886,271050
VNM,20121113,25.8701,26.0738,25.6664,25.6664,85010
VNM,20121112,25.6664,25.8701,25.6664,25.8701,49590
VNM,20121109,25.4627,25.8701,25.4627,25.6664,44090
VNM,20121108,25.8701,25.8701,25.4627,25.4627,74470
VNM,20121107,25.8701,26.0738,25.6664,25.8701,56950
VNM,20121106,25.6664,26.2775,25.4627,25.8701,107980
VNM,20121105,24.6479,25.6664,24.4442,25.6664,118260
VNM,20121102,25.8701,25.8701,24.6479,24.6479,278080
VNM,20121101,25.4627,25.8701,25.4627,25.8701,100580
VNM,20121031,25.8701,26.0738,25.2590,25.4627,205220
VNM,20121030,26.0738,26.2775,25.8701,25.8701,92140
VNM,20121029,26.2775,26.4812,25.8701,26.0738,85000
VNM,20121026,25.8701,26.4812,25.6664,26.2775,116860
VNM,20121025,27.0923,27.0923,25.8701,25.8701,504420
VNM,20121024,27.7034,27.9071,27.0923,27.0923,159880
VNM,20121023,27.7034,27.7034,27.0923,27.7034,152970
VNM,20121022,27.0923,27.7034,27.0923,27.7034,217150
VNM,20121019,26.4812,27.4997,26.4812,27.0923,256170
VNM,20121018,25.8701,26.4812,25.8701,26.4812,162300
VNM,20121017,26.0738,26.4812,25.6664,25.8701,122380
VNM,20121016,25.0553,26.2775,25.0553,26.0738,135400
VNM,20121015,24.0367,25.0553,24.2404,25.0553,275440
VNM,20121012,24.0367,24.2404,23.8330,24.0367,66930
VNM,20121011,24.0367,24.2404,23.8330,24.0367,91520
VNM,20121010,24.0367,24.0367,23.8330,24.0367,38920
VNM,20121009,24.0367,24.2404,23.8330,24.0367,152500
VNM,20121008,23.4256,24.2404,23.4256,24.0367,182160
VNM,20121005,23.4256,23.6293,23.4256,23.4256,70040
VNM,20121004,23.4256,23.6293,23.2219,23.4256,67390
VNM,20121003,23.2219,23.6293,23.0182,23.4256,87060
VNM,20121002,23.6293,23.6293,23.2219,23.2219,152200
VNM,20121001,23.8330,24.0367,23.6293,23.6293,196700
VNM,20120928,24.0367,24.4442,23.6293,23.8330,195100
VNM,20120927,23.6293,24.0367,23.6293,24.0367,183340
VNM,20120926,23.0182,23.8330,23.0182,23.6293,276090
VNM,20120925,22.4071,23.2219,22.4071,23.0182,134760
VNM,20120924,22.6108,22.8145,22.4071,22.4071,52630
VNM,20120921,22.4071,22.6108,22.2034,22.6108,134960
VNM,20120920,22.4071,22.6108,21.9997,22.4071,142350
VNM,20120919,21.9997,22.6108,21.9997,22.4071,116200
VNM,20120918,22.6108,22.8145,21.9997,21.9997,134570
VNM,20120917,22.4071,22.8145,22.4071,22.6108,118120
VNM,20120914,21.5923,22.6108,21.7960,22.4071,226460
VNM,20120913,21.5923,21.7960,21.3886,21.5923,39500
VNM,20120912,21.3886,21.7960,21.3886,21.5923,32540
VNM,20120911,21.1849,21.5923,20.9812,21.3886,29820
VNM,20120910,21.5923,21.5923,20.9812,21.1849,72560
VNM,20120907,21.3886,21.7960,21.3886,21.5923,46090
VNM,20120906,21.7960,21.7960,21.3886,21.3886,84040
VNM,20120905,21.7960,21.7960,21.3886,21.7960,64770
VNM,20120904,21.3886,21.7960,21.3886,21.7960,92220
VNM,20120831,20.9812,21.3886,20.9812,21.3886,82000
VNM,20120830,21.1849,21.3886,20.9812,20.9812,87440
VNM,20120829,20.9812,21.7960,20.9812,21.1849,114520
VNM,20120828,20.7775,21.1849,20.5738,20.9812,83740
VNM,20120827,21.1849,21.3886,20.7775,20.7775,145740
VNM,20120824,20.7775,21.3886,19.9627,21.1849,304170
VNM,20120823,21.7960,21.7960,20.7775,20.7775,216030
VNM,20120822,21.3886,22.2034,20.5738,21.7960,169320
VNM,20120821,22.4071,22.4071,21.3886,21.3886,256230
VNM,20120820,22.2071,22.6072,22.2071,22.4071,145160
VNM,20120817,22.6072,22.6072,22.2071,22.2071,101660
VNM,20120816,23.0073,23.6075,22.2071,22.6072,124080
VNM,20120815,22.2071,23.2074,22.2071,23.0073,134530
VNM,20120814,21.2067,22.2071,21.2067,22.2071,305460
VNM,20120813,20.8066,21.2067,20.4065,21.2067,95640
VNM,20120810,21.0067,21.0067,20.6066,20.8066,110100
VNM,20120809,20.4065,21.2067,20.6066,21.0067,118430
VNM,20120808,20.6066,20.6066,20.0064,20.4065,126630
VNM,20120807,20.4065,21.2067,20.4065,20.6066,178470
VNM,20120806,19.5062,20.4065,20.0064,20.4065,476860
VNM,20120803,18.6059,19.5062,19.5062,19.5062,108780
VNM,20120802,17.8057,18.6059,18.6059,18.6059,122880
VNM,20120801,17.9057,17.9057,17.7056,17.8057,13990
VNM,20120731,17.8057,17.9057,17.7056,17.9057,55330
VNM,20120730,17.4055,18.0057,17.4055,17.8057,198350
VNM,20120727,17.4055,17.5056,17.3055,17.4055,29400
VNM,20120726,17.4055,17.5056,17.4055,17.4055,48780
VNM,20120725,17.4055,17.4055,17.3055,17.4055,33280
VNM,20120724,17.4055,17.4055,17.3055,17.4055,41530
VNM,20120723,17.5056,17.6056,17.4055,17.4055,35950
VNM,20120720,17.5056,17.6056,17.5056,17.5056,41430
VNM,20120719,17.5056,17.5056,17.3055,17.5056,30960
VNM,20120718,17.3055,17.5056,17.2055,17.5056,29510
VNM,20120717,17.3055,17.4055,17.2055,17.3055,18490
VNM,20120716,17.5056,17.5056,17.3055,17.3055,45300
VNM,20120713,17.3055,17.5056,17.2055,17.5056,62810
VNM,20120712,17.2055,17.3055,17.1054,17.3055,23980
VNM,20120711,17.1054,17.2055,17.1054,17.2055,18160
VNM,20120710,17.1054,17.2055,17.0054,17.1054,46570
VNM,20120709,17.3055,17.3055,17.1054,17.1054,49080
VNM,20120706,17.4055,17.4055,17.3055,17.3055,29930
VNM,20120705,17.4055,17.5056,17.3055,17.4055,36390
VNM,20120704,17.4055,17.5056,17.2055,17.4055,23450
VNM,20120703,17.5056,17.5056,17.2055,17.4055,20830
VNM,20120702,17.6056,17.6056,17.3055,17.5056,29330
VNM,20120629,17.2055,17.6056,17.1054,17.6056,39480
VNM,20120628,17.2055,17.2055,17.1054,17.2055,27000
VNM,20120627,17.2055,17.2055,17.2055,17.2055,16660
VNM,20120625,17.3055,17.5056,17.2055,17.3055,30180
VNM,20120622,17.3055,17.4055,17.2055,17.3055,15670
VNM,20120621,17.5056,17.6056,17.3055,17.3055,27850
VNM,20120620,17.6056,17.6056,17.4055,17.5056,25970
VNM,20120619,17.6056,17.6056,17.4055,17.6056,36490
VNM,20120618,17.7056,17.7056,17.5056,17.6056,40020
VNM,20120615,17.3055,17.9057,17.3055,17.7056,114830
VNM,20120614,17.2055,17.4055,17.2055,17.3055,42350
VNM,20120613,17.2055,17.2055,17.1054,17.2055,21900
VNM,20120612,17.2055,17.2055,17.0054,17.2055,45850
VNM,20120611,17.1054,17.2055,17.1054,17.2055,16730
VNM,20120608,17.2055,17.4055,17.1054,17.1054,33020
VNM,20120607,17.2055,17.3055,17.1054,17.2055,39360
VNM,20120606,17.3055,17.4055,17.1054,17.2055,32320
VNM,20120605,17.2055,17.3055,17.1054,17.3055,19660
VNM,20120604,17.4055,17.4055,17.2055,17.2055,12990
VNM,20120601,17.3055,17.4055,17.3055,17.4055,26750
VNM,20120531,17.5056,17.5056,17.3055,17.3055,42150
VNM,20120530,17.5056,17.6056,17.4055,17.5056,12400
VNM,20120529,17.4055,17.5056,17.3055,17.5056,15600
VNM,20120528,17.5056,17.6056,17.4055,17.4055,14950
VNM,20120525,17.3055,17.6056,17.3055,17.5056,82940
VNM,20120524,17.5056,17.5056,17.3055,17.3055,61880
VNM,20120523,17.6056,17.6056,17.5056,17.5056,40110
VNM,20120522,17.8057,17.8057,17.6056,17.6056,15730
VNM,20120521,17.5056,17.8057,17.6056,17.8057,14130
VNM,20120518,17.6056,17.6056,17.4055,17.5056,58560
VNM,20120517,17.6056,17.8057,17.6056,17.6056,27270
VNM,20120516,17.8057,17.9057,17.6056,17.6056,57190
VNM,20120515,17.9057,18.0057,17.8057,17.8057,67260
VNM,20120514,18.0057,18.0057,17.9057,17.9057,84350
VNM,20120511,18.0057,18.1058,17.9057,18.0057,50830
